Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Cluster
The Key,"after twenty years of marriage, art professor nino rolfe attempts to break down his wife teresa's conventional modesty. noticing her affection for their daughter's fiancé, nino instigates her sexual interest in him as well. this sets off a chain of unexpected events and emotional complications, as nino and his unpredictable fascist daughter find that they both enjoy being jealous.",22.106,290,5.9,it,drama,30
The Legend of the Chupacabras,"leo san juan and his team of ""ghostbusters"" continue with their adventures, this time fighting against the mexican monster himself: ""el chupacabras"".",22.103,105,7.2,es,animation,34
Valkyrie,"wounded in africa during world war ii, nazi col. claus von stauffenberg returns to his native germany and joins the resistance in a daring plan to create a shadow government and assassinate adolf hitler. when events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the führer.",22.102,2932,6.9,en,drama,9
Ice Soldiers,a scientist discovers the bodies of three frozen genetically modified russians buried in the canadian north. upon thawing them out he realizes he has unleashed a deadly threat to western society and must stop them at all costs.,22.101,72,5.3,en,action,6
Killing Cabos,"oscar cabos, a multimillionaire tycoon, is being held for ransom--only his captors have nabbed the wrong man. now, to get their money, they must find the real cabos--which could get tricky since he's been counter-kidnapped by his future son-in-law and impersonated by his childhood friend (now his janitor), nacho.",22.1,110,7.9,es,comedy,17
The Saint,"international master thief, simon templar, also known as the saint, is asked by a desperate rich man to find his kidnapped daughter. however, in addition to evading the authorities, simon must face a dangerous adversary from his past.",22.09,235,5.3,en,action,6
World's Greatest Dad,"in the wake of a freak accident, lance suffers the worst tragedy and the greatest opportunity of his life. he is suddenly faced with the possibility of fame, fortune and popularity, if he can only live with the knowledge of how he got there.",22.084,451,6.5,en,comedy,11
Pokémon: Zoroark - Master of Illusions,ash and his friends must stop a greedy media mogul from using the shape-shifting zoroark to capture the time-travelling celebi.,22.079,152,6.6,ja,family,33
Paranormal Movie,"a man, long haunted by the paranormal, captures on camera the horror and hilarity he and his beautiful girlfriend encounter after moving into a new home.",22.078,20,4.1,en,comedy,11
"Ed, Edd n Eddy's Big Picture Show","when a scam goes horribly wrong and leaves the neighborhood kids furious, the eds embark on a journey to find eddy's brother in the ""ed, edd, n eddy"" series finale.",22.076,82,7.2,en,comedy,11
Rosario Tijeras,"rosario tijeras has been abused by men all her life, initially by her stepfather. years later, she works as a paid assassin, seducing men and killing them when they least expect it. she meets emilio, a wealthy womanizer, and his best friend, antonio, at a nightclub, and starts an affair with emilio despite antonio's growing feelings for her. but circumstances bring her closer to antonio, until her past catches up with her in a devastating way.",22.072,47,6.1,es,crime,67
End of Watch,two young officers are marked for death after confiscating a small cache of money and firearms from the members of a notorious cartel during a routine traffic stop.,22.066,2562,7.3,en,crime,14
Bridesmaids,"annie's life is a mess. but when she finds out her lifetime best friend is engaged, she simply must serve as lillian's maid of honor. though lovelorn and broke, annie bluffs her way through the expensive and bizarre rituals. with one chance to get it perfect, she’ll show lillian and her bridesmaids just how far you’ll go for someone you love.",22.058,3739,6.5,en,comedy,11
Psychokinesis,"an ordinary guy suddenly finds he has superpowers he can use to help his spirited daughter and the people around them, but he also runs into trouble in the process.",22.057,221,6.2,ko,fantasy,-1
Lucky Number Slevin,"slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. under constant watch, slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma.",22.053,3300,7.5,en,drama,9
Collateral,cab driver max picks up a man who offers him $600 to drive him around. but the promise of easy money sours when max realizes his fare is an assassin.,22.052,4229,7.2,en,drama,9
The Goldfinch,"a boy in new york is taken in by a wealthy family after his mother is killed in a bombing at the metropolitan museum of art. in a rush of panic, he steals 'the goldfinch', a painting that eventually draws him into a world of crime.",22.046,643,7.2,en,drama,9
Mary Queen of Scots,"in 1561, mary stuart, widow of the king of france, returns to scotland, reclaims her rightful throne and menaces the future of queen elizabeth i as ruler of england, because she has a legitimate claim to the english throne. betrayals, rebellions, conspiracies and their own life choices imperil both queens. they experience the bitter cost of power, until their tragic fate is finally fulfilled.",22.029,1456,6.6,en,drama,9
Ravenous,"in an isolated rural community of quebec, canada, some inhabitants attack other people, hungry for human flesh. a few survivors gather and go deep into the forest to escape them.",22.029,297,5.9,fr,horror,-1
Hey Arnold! The Jungle Movie,"when their trip to san lorenzo takes a turn for the worst, arnold and his classmate’s only hope of getting home is retracing the dangerous path that led to arnold's parents' disappearance.",22.024,179,7.6,en,family,10
Outlaw King,"forced into exile by the english after being crowned king of scotland, legendary warrior robert the bruce fights to reclaim the throne.",22.023,1205,6.8,en,action,6
"Extremely Wicked, Shockingly Evil and Vile","a chronicle of the crimes of ted bundy, from the perspective of his longtime girlfriend, elizabeth kloepfer, who refused to believe the truth about him for years.",22.021,2788,7.0,en,crime,14
Gully,"a slightly dystopian vision of la, we follow three disaffected teenagers, jessie, calvin and nicky, all victims of extreme childhoods, running supreme hedonistic riot as they try to work out a way in life.",22.017,24,4.7,en,drama,9
"No Retreat, No Surrender","young jason stillwell moves with his parents to seattle, where local bullies harass them without mercy. jason's father tom does not believe in violence, so the family takes it on the chin. one day jason enrolls in a martial arts class and quietly rises in rank to be a major contender. his mettle is tested in an international match against ivan, a russian champion.",22.015,417,6.2,en,action,6
Fallen Angels,"in this bifurcated crime narrative, a disillusioned hitman attempts to escape from his violent lifestyle against the wishes of his partner, who is infatuated with him, and an eccentric mute repeatedly encounters, then subsequently falls for a depressed woman looking for the prostitute who supposedly stole her ex-boyfriend's affections.",22.013,567,7.7,cn,action,42
Hairspray,"pleasantly plump teenager tracy turnblad auditions to be on baltimore's most popular dance show - the corny collins show - and lands a prime spot. through her newfound fame, she becomes determined to help her friends and end the racial segregation that has been a staple of the show.",22.01,2151,6.7,en,comedy,11
The Bridge on the River Kwai,"the classic story of english pows in burma forced to build a bridge to aid the war effort of their japanese captors. british and american intelligence officers conspire to blow up the structure, but col. nicholson , the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",22.009,1531,7.8,en,drama,9
Beverly Hills Cop,"the heat is on in this fast paced action-comedy starring eddie murphy as axel foley, a street smart detroit cop tracking down his best friend's killer in beverly hills. axel quickly learns that his wild style doesn't fit in with the beverly hills police department, which assigns two officers (judge reinhold & john ashton) to make sure things don't get out of hand. dragging the stuffy detectives along for the ride, axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. featuring cameos by paul reiser, bronson pinchot and damon wayans, beverly hills cop is an exhilarating, sidesplitting adventure.",22.007,3122,7.2,en,action,6
Bigfoot Family,"bigfoot, adam's father, wants to use his fame for a good cause. protecting a large wildlife reserve in alaska sounds like the perfect opportunity! when bigfoot mysteriously disappears without a trace, adam and his animal friends will brave anything to find him again and save the nature reserve.",22.005,129,7.1,en,animation,5
Filth,a bigoted junkie cop suffering from bipolar disorder and drug addiction manipulates and hallucinates his way through the festive season in a bid to secure promotion and win back his wife and daughter.,22.002,1367,6.9,en,crime,14
COVID-21: Lethal Virus,"the climate change has released an ancient rabies virus trapped in the antarctica ice. a female scientist tries to get to the laboratory to create a cure to save the world, protected by an eccentric and two members of the special forces.",21.999,219,5.5,en,science fiction,12
The Dukes of Hazzard,"cousins, bo and luke duke, with the help of their eye-catching cousin, daisy and moonshine-running uncle jesse, try and save the family farm from being destroyed by hazzard county's corrupt commissioner, boss hogg. their efforts constantly find the 'duke boys' eluding authorities in 'the general lee', their 1969 orange dodge charger that keeps them one step ahead of the dimwitted antics of the small southern town's sheriff, roscoe p. coltrane.",21.996,903,5.5,en,comedy,11
Cruel Intentions 3,"meet cassie, jason and patrick, three amoral college students who, through a series of sexual wagers, take malicious pleasure in ruining the lives of their fellow classmates.",21.992,157,4.7,en,drama,9
Deliver Us from Evil,"when a frightening wave of violence sweeps through new york city, troubled cop sarchie fails to find a rational explanation for the bizarre crimes. however, his eyes are opened to a frightening alternate reality when renegade jesuit priest mendoza convinces him that demonic possession may be to blame for the gruesome murders. together, they wage a valiant supernatural struggle to rid the city of an otherworldly evil.",21.99,1657,6.2,en,thriller,8
Cutthroat Island,"morgan adams and her slave, william shaw, are on a quest to recover the three portions of a treasure map. unfortunately, the final portion is held by her murderous uncle, dawg. her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. this is made yet more difficult by the efforts of the british crown to end her pirate raids.",21.988,403,5.7,en,action,6
Blank Check,"bullied by his siblings and nagged by his parents, 11-year-old preston is fed up with his family -- especially their frugality. but he gets his chance to teach them a lesson when a money-laundering criminal nearly bulldozes preston with his car and gives the boy a blank check as compensation. preston makes the check out for $1 million and goes on a spending spree he'll never forget. maybe now, his family will take him seriously!",21.985,351,5.8,en,comedy,11
Casino Royale,"sir james bond is called back out of retirement to stop smersh. in order to trick smersh, james thinks up the ultimate plan - that every agent will be named 'james bond'. one of the bonds, whose real name is evelyn tremble is sent to take on le chiffre in a game of baccarat, but all the bonds get more than they can handle.",21.978,534,5.4,en,adventure,7
Color Out of Space,"the gardner family moves to a remote farmstead in rural new england to escape the hustle of the 21st century. they are busy adapting to their new life when a meteorite crashes into their front yard, melts into the earth, and infects both the land and the properties of space-time with a strange, otherworldly colour. to their horror, the family discovers this alien force is gradually mutating every life form that it touches—including them.",21.97,911,6.0,en,mystery,26
Deadly Illusions,"a bestselling female novelist, suffering from writer's block, hires an innocent young woman to watch over her twin children. as the novelist dangerously indulges in her new best seller, the line between the life she's writing and the one she's living becomes blurred.",21.969,241,5.0,en,thriller,8
Replicas,a scientist becomes obsessed with returning his family to normalcy after a terrible accident.,21.969,1059,6.1,en,science fiction,12
Great Expectations,"in this dickens adaptation, orphan pip discovers through lawyer mr. jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. reunited with his childhood patron, miss havisham, and his first love, the beautiful but emotionally cold estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.",21.966,220,7.3,en,romance,19
Breathe,"based on the true story of robin, a handsome, brilliant and adventurous man whose life takes a dramatic turn when polio leaves him paralyzed.",21.964,606,7.4,en,drama,9
The Great Hack,"data—arguably the world’s most valuable asset—is being weaponized to wage cultural and political wars. the dark world of data exploitation is uncovered through the unpredictable, personal journeys of players on different sides of the explosive cambridge analytica/facebook data story.",21.95,393,6.8,en,documentary,16
The Vatican Tapes,"in a highly secured vault deep within the walls of vatican city, the catholic church holds thousands of old films and video footage documenting exorcisms/supposed exorcisms and other unexplained religious phenomena they feel the world is not ready to see. this is the first tape - case 83-g - stolen from these archives and exposed to the public by an anonymous source.",21.944,607,5.2,en,thriller,8
ReLIFE,"arata kaizaki is 27-years-old and unemployed. he quit his prior job after working for the company for 3 months. arata kaizaki decides to take part in a research program. he takes medication that makes him look younger and he is to attend high school for a year. there, he falls in love with female high school student chizuru hishiro.",21.937,56,7.8,ja,comedy,27
A Dark Place,"when a young boy turns up dead in a sleepy pennsylvania town, a local sanitation truck driver, donald, plays detective, embarking on a precarious and obsessive investigation to prove the boy was murdered.",21.933,147,6.0,en,thriller,8
Ghost Dog: The Way of the Samurai,"an african-american mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob. jarmusch's spiritual gangster film tells the story of an inner-city hit man (whitaker) who lives on a rooftop, training himself as a samurai in the strictest sense. he communicates primarily by carrier pigeon, while remaining loyal to a gangster (tormey) who once saved his life.",21.932,859,7.3,en,crime,14
Hop,"e.b., the easter bunny's teenage son, heads to hollywood, determined to become a drummer in a rock 'n' roll band. in l.a., he's taken in by fred after the out-of-work slacker hits e.b. with his car.",21.926,982,5.7,en,animation,5
Blade of the Immortal,"manji, a highly skilled samurai, becomes cursed with immortality after a legendary battle. haunted by the brutal murder of his sister, manji knows that only fighting evil will regain his soul. he promises to help a young girl named rin avenge her parents, who were killed by a group of master swordsmen led by ruthless warrior anotsu. the mission will change manji in ways he could never imagine.",21.922,394,6.5,ja,action,13
Flags of Our Fathers,"there were five marines and one navy corpsman photographed raising the u.s. flag on mt. suribachi by joe rosenthal on february 23, 1945. this is the story of three of the six surviving servicemen - john 'doc' bradley, pvt. rene gagnon and pvt. ira hayes - who fought in the battle to take iwo jima from the japanese.",21.921,1442,6.8,en,war,40
Yogi Bear,"a documentary filmmaker travels to jellystone park to shoot a project and soon crosses paths with yogi bear, his sidekick boo-boo, and ranger smith.",21.92,702,5.6,en,comedy,11
Megan Is Missing,"fourteen-year–old megan and her best friend amy spend a lot of time on the internet, posting videos of themselves and chatting with guys online. one night megan chats with a guy named josh who convinces her to meet him for a date. the next day, megan is missing—forever. based on actual cases of child abduction.",21.918,453,6.3,en,drama,9
The Secret of Kells,"adventure awaits 12 year old brendan who must fight vikings and a serpent god to find a crystal and complete the legendary book of kells. in order to finish brother aiden's book, brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. will brendan succeed in his quest?",21.918,497,7.4,en,animation,5
Corazón ardiente,"an invincible, but unknown force ardently aspires to save the world - to achieve it, would it be enough to announce it?",21.914,0,0.0,es,drama,-1
Happy Gilmore,"failed hockey player-turned-golf whiz happy gilmore -- whose unconventional approach and antics on the grass courts the ire of rival shooter mcgavin -- is determined to win a pga tournament so he can save his granny's house with the prize money. meanwhile, an attractive tour publicist tries to soften happy's image.",21.908,2013,6.6,en,comedy,11
Last Man,"a vision of the history and future of mankind, inspired by nietzsche's ""thus spoke zarathustra"".",21.903,0,0.0,de,drama,-1
My Bloody Valentine,"ten years ago, a tragedy changed the town of harmony forever. tom hanniger, an inexperienced coal miner, caused an accident in the tunnels that trapped and killed five men and sent the only survivor, harry warden, into a permanent coma. but harry warden wanted revenge. exactly one year later, on valentine’s day, he woke up…and brutally murdered twenty-two people with a pickaxe before being killed.",21.894,890,5.5,en,mystery,26
Detachment,"a chronicle of three weeks in the lives of several high school teachers, administrators and students through the eyes of substitute teacher, henry barthes. henry roams from school to school, imparting modes of knowledge, but never staying long enough to form any semblance of sentient attachment.",21.884,1077,7.6,en,drama,9
Barbie: Star Light Adventure,"barbie is a cosmic princess who flies high on her hoverboard through a far-off universe with her adorable and devoted pet sidekick, pupcorn. one day, everything changes when the twinkling stars start to dim and slow their dance in the sky. barbie travels to a beautiful new planet to join a special rescue team on a mission to save the stars. once there, she teams up with a group of talented new friends who work together to save the galaxy through exciting hoverboarding adventures. barbie soon discovers that if she listens to her heart, and with the help of her friends, she might be the leader the whole universe has been waiting for!",21.88,129,7.1,en,animation,5
Once Upon a Time in Mexico,"hitman ""el mariachi"" becomes involved in international espionage involving a psychotic cia agent and a corrupt mexican general.",21.879,1686,6.3,en,action,6
Les Misérables,"an adaptation of the successful stage musical based on victor hugo's classic novel set in 19th-century france, in which a paroled prisoner named jean valjean seeks redemption.",21.877,4541,7.3,en,history,-1
My Boyfriend's Meds,a woman's island getaway with her boyfriend is thrown for a loop when he forgets to take his prescription medications along.,21.87,277,7.1,es,comedy,17
Journey to the West: Conquering the Demons,"in a world plagued by demons who cause great human suffering, young demon hunter xuan zang risks his all to conquer a water demon, a pig demon and the demon of all demons, sun wukong.",21.87,248,7.0,zh,action,24
The Road,"a father and his son walk alone through burned america. nothing moves in the ravaged landscape save the ash on the wind and water. it is cold enough to crack stones, and, when the snow falls it is gray. the sky is dark. their destination is the warmer south, although they don't know what, if anything, awaits them there.",21.87,2956,7.0,en,adventure,7
Amityville II: The Possession,"eager to start afresh, the unsuspecting couple of anthony and dolores montelli, along with their four children, move into their dream house in amityville. however, right from the very first night, strange paranormal experiences shatter the montellis' fantasy, as the restless spirits of the dead and the new home's dark secrets open the unfathomable black portal of hell. now, the family's older child, sonny, has become the perfect vessel of destruction, as the invisible demonic forces claim his soul. can father frank adamsky cleanse the infernal amityville house?",21.865,246,5.8,en,horror,0
Errementari: The Blacksmith and the Devil,"basque country, spain, 1843. a police constable arrives at a small village in álava to investigate a mysterious blacksmith who lives alone deep in the woods.",21.859,421,6.4,eu,drama,-1
Beastly,"a curse transforms a handsome and arrogant young man into everything he detests in this contemporary retelling of beauty and the beast. wealthy kyle kingson has everything a teenager could want in life, but he still gets off on humiliating the weaker and less attractive. when kyle invites his misfit classmate kendra to an environmental rally at their school, she questions his motivations but reluctantly accepts. later, kyle blows kendra off, prompting the spurned goth girl to cast a dark spell on the swaggering egotist.",21.853,2456,6.3,en,drama,9
The Secret Scripture,"the hidden memoir of an elderly woman confined to a mental hospital reveals the history of her passionate yet tortured life, and of the religious and political upheavals in ireland during the 1920s and 30s.",21.851,222,7.3,en,drama,9
We're Back! A Dinosaur's Story,"captain new eyes travels back in time and feeds dinosaurs his brain grain cereal, which makes them intelligent and non-violent. they agree to go to the middle future in order to grant the wishes of children in new york city. they are to meet dr. bleeb of the museum of natural history, but get sidetracked with their new children friends and run into the captain's evil brother, professor screweyes.",21.844,324,6.0,en,animation,5
Small Soldiers,"when missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously.",21.844,1673,6.5,en,comedy,11
Darkness Falls,"a vengeful spirit has taken the form of the tooth fairy to exact vengeance on the town that lynched her 150 years earlier. her only opposition is the only child, now grown up, who has survived her before.",21.84,445,5.5,en,thriller,8
Combat Wombat,"maggie diggins, a wombat turned wonder woman, unintentionally becomes the city's superhero after she begrudgingly saves a rookie superhero sugar glider from certain doom.",21.836,22,6.9,en,animation,5
Legend,"set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. he must save the beautiful princess  lili and defeat the demonic lord of darkness, or the world will be plunged into a never-ending ice age.",21.836,908,6.3,en,adventure,7
The Wedding Planner,"san francisco's premiere wedding planner, mary fiore is rescued from an accident by the man of her dreams, paediatrician steve edison, only to find he is the fiancé of her latest client. as mary continues making the wedding arrangements, she and steve are put into a string of uncomfortable situations that force them to face their mutual attraction.",21.836,1366,5.9,en,comedy,11
Serenity,"when the renegade crew of serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will destroy anything – or anyone – to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. but... the greatest danger of all may be on their ship.",21.835,2821,7.4,en,science fiction,12
The Tale of Despereaux,"once upon a time... in the far away kingdom of dor... lived a brave and virtuous mouse with comically oversized ears who dreamt of becoming a knight. banished from his home for having such lofty ambitions, despereaux sets off on an amazing adventure with his good-hearted rat friend roscuro, who leads him, at long last, on a very noble quest to rescue an endangered princess and save an entire kingdom from darkness.",21.829,712,6.0,en,adventure,7
Doraemon: Nobita's Treasure Island,"doraemon, nobita, shizuka, gian, and suneo set out on an adventure in the caribbean sea. nobita is the captain of a ship and fights his enemies on board. shizuka gets kidnapped, and a storm impedes their journey. mini-dora help nobita and friends on their journey. when the adventurers finally find the mysterious treasure island, they discover it is more than just an ordinary island.",21.824,67,7.0,ja,animation,3
The Beautician and the Beast,the story follows the misadventures of a new york city beautician who is mistakenly hired as the school teacher for the children of the president of a small eastern european country.,21.818,283,6.8,en,comedy,11
V.C. Andrews' Pearl in the Mist,"ruby is hopeful for a new start with her twin sister as they continue their education at an all-girl's boarding school. however, she soon endures torturous punishments and public humiliation as her cruel headmistress and stepmother plot against her.",21.8,22,7.3,en,tv movie,59
IO,"as a young scientist searches for a way to save a dying earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",21.799,1127,4.9,en,science fiction,12
The Tuxedo,"cabbie-turned-chauffeur jimmy tong learns there is really only one rule when you work for playboy millionaire clark devlin : never touch devlin's prized tuxedo. but when devlin is temporarily put out of commission in an explosive accident, jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. paired with a partner as inexperienced as he is, jimmy becomes an unwitting secret agent.",21.798,1524,5.7,en,thriller,8
Blood Ties,"two brothers, on either side of the law, face off over organized crime in brooklyn during the 1970s.",21.792,374,6.1,en,thriller,8
Police Academy 5: Assignment Miami Beach,the police academy misfits travel to miami beach for commandant lassard to be honored with a prestigious lifetime award pending his retirement. things take a turn when lassard unknowingly ends up in possession of stolen diamonds from a jewel heist.,21.792,671,5.1,en,comedy,11
Soul Plane,"following a ridiculously awful flight that leads to his pet's death, nashawn wade files a lawsuit against the airline, and wins a multimillion-dollar settlement. determined to create a better flying experience, nashawn starts his own airline, one that caters to an african-american clientele. going into business with a tricked-out plane piloted by the smooth capt. mack, the airline hits a snag when it has to deal with the family of elvis hunkee.",21.787,311,5.2,en,romance,19
Bridge of Spies,"during the cold war, the soviet union captures u.s. pilot francis gary powers after shooting down his u-2 spy plane. sentenced to 10 years in prison, powers' only hope is new york lawyer james donovan, recruited by a cia operative to negotiate his release. donovan boards a plane to berlin, hoping to win the young man's freedom through a prisoner exchange. if all goes well, the russians would get rudolf abel, the convicted spy who donovan defended in court.",21.785,5834,7.2,en,thriller,8
Hellbound: Hellraiser II,"doctor channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, cenobites who offer the most intense sensations of pleasure and pain. but channard has been searching for the doorway to hell for years, and kirsty must follow him to save her father and witness the power struggles among the newly damned.",21.78,766,6.3,en,horror,0
Suffragette,based on true events about the foot soldiers of the early feminist movement who were forced underground to evade the state.,21.766,1391,7.3,en,drama,9
Jexi,"phil's new phone comes with an unexpected feature, jexi...an a.i. determined to keep him all to herself in a comedy about what can happen when you love your phone more than all else.",21.764,918,6.9,en,comedy,11
Donnie Brasco,an fbi undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,21.763,3469,7.5,en,crime,14
iBoy,"after an accident, tom wakes from a coma to discover that fragments of his smart phone have been embedded in his head, and worse, that returning to normal teenage life is impossible because he has developed a strange set of super powers.",21.762,1000,6.0,en,action,6
Closed Circuit,"a terrorist attack in london results in the capture of suspect, and the attorney general appoints claudia simmons-howe as special advocate on his defence team. on the eve of the trial, the accused's attorney dies and a new one, martin rose, steps in. martin and claudia are former lovers—a fact which must remain hidden—and, as martin assembles his case, he uncovers a sinister conspiracy that places him and claudia in danger.",21.758,357,5.9,en,mystery,26
The Entity,"carla moran, a hard-working single mother,  is raped in her bedroom by someone - or something - that she cannot see. despite skeptical psychiatrists, she is repeatedly attacked in her car by this invisible force. could this be a case of hysteria or something more horrific?",21.756,332,6.6,en,horror,0
My Best Friend Anne Frank,"based on the real-life friendship between anne frank and hannah goslar, from nazi-occupied amsterdam to their harrowing reunion in a concentration camp.",21.753,93,6.5,nl,history,-1
The Sandlot,"during a summer of friendship and adventure, one boy becomes a part of the gang, nine boys become a team and their leader becomes a legend by confronting the terrifying mystery beyond the right field wall.",21.753,871,7.5,en,family,10
The Holiday,"two women, one from the united states and one from the united kingdom, swap homes at christmastime after bad breakups with their boyfriends. each woman finds romance with a local man but realizes that the imminent return home may end the relationship.",21.752,4050,7.1,en,comedy,11
Happily N'Ever After,"an alliance of evil-doers, led by frieda, looks to take over fairy tale land. but when ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",21.74,354,4.9,en,adventure,7
The Last Emperor,"a dramatic history of pu yi, the last of the emperors of china, from his lofty birth and brief reign in the forbidden city, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading japanese, and finally to his obscure existence as just another peasant worker in the people's republic.",21.738,1233,7.6,en,drama,9
Stasis,"after a night out of partying and left behind by her friends, ava wakes up and sneaks back home only to find that she's already safe in bed. but that's not ava - it's someone who looks just like her. a time-traveling fugitive has stolen ava's body, her identity, and her life. what's more -- she's not alone. there are others, hiding in the past, secretly living among us, plotting to alter the future. without her body, ava is a virtual ghost, silent and invisible to the world. and, so far as she knows, she's the only one who can stop them and put the timeline back on course.",21.737,144,3.5,en,adventure,7
The Boxtrolls,"an orphaned boy raised by underground creatures called boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, archibald snatcher.",21.734,1395,6.7,en,animation,5
Deliverance,"intent on seeing the cahulawassee river before it's turned into one huge lake, outdoor fanatic lewis medlock takes his friends on a river-rafting trip they'll never forget into the dangerous american back-country.",21.734,1176,7.3,en,drama,9
RoboCop 3,"the mega corporation omni consumer products is still bent on creating their pet project, delta city, to replace the rotting city of detroit. unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. to this end, ocp have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. an underground resistance begins and in this fight, robocop must decide where his loyalties lie.",21.726,909,4.7,en,action,6
Forgetting Sarah Marshall,"when sarah marshall dumps aspiring musician peter bretter for rock star aldous snow, peter's world comes crashing down. his best friend suggests that peter should get away from everything and to fly off to hawaii to escape all his problems. after arriving in hawaii and meeting the beautiful rachel jansen, peter is shocked to see not only aldous snow in hawaii, but also sarah marshall.",21.722,2760,6.5,en,comedy,11
Wolf Warrior 2,"china's deadliest special forces operative settles into a quiet life on the sea. when sadistic mercenaries begin targeting nearby civilians, he must leave his newfound peace behind and return to his duties as a soldier and protector.",21.72,184,6.7,zh,war,-1
"Game Over, Man!",three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,21.716,758,5.5,en,action,6
Day of the Dead,"when a small colorado town is overrun by the flesh hungry dead, a small group of survivors try to escape in a last ditch effort to stay alive.",21.713,288,5.2,en,horror,0
Children of Men,"in 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",21.71,5687,7.6,en,drama,9
Gerald's Game,"when her husband's sex game goes wrong, jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.",21.709,2933,6.4,en,horror,0
The Lincoln Lawyer,a lawyer conducts business from the back of his lincoln town car while representing a high-profile client in beverly hills.,21.709,2474,7.2,en,crime,14
The Untouchables,"young treasury agent elliot ness arrives in chicago and is determined to take down al capone, but it's not going to be easy because capone has the police in his pocket. ness meets jimmy malone, a veteran patrolman and probably the most honorable one on the force. he asks malone to help him get capone, but malone warns him that if he goes after capone, he is going to war.",21.699,4485,7.8,en,crime,14
The Girl Next Door,"in a quiet suburban town in the summer of 1958, two recently orphaned sisters are placed in the care of their mentally unstable aunt ruth. but ruth's depraved sense of discipline will soon lead to unspeakable acts of abuse and torture that involve her young sons, the neighborhood children, and one 12-year-old boy whose life will be changed forever.",21.698,530,6.7,en,thriller,8
The Tin Drum,"oskar is born in germany in 1924 with an advanced intellect. repulsed by the hypocrisy of adults and the irresponsibility of society, he refuses to grow older after his third birthday.",21.698,306,7.0,de,drama,38
Arpeggio of Blue Steel -Ars Nova Cadenza-,"the group of privateers known as the blue steel continues their mission to deliver blueprints of the vibration warhead torpedo, a weapon that may turn the tides of war in their favor, to the united states. however, a new threat arises from their enemy, the overwhelming fleet of fog in the form of ""the student council"", a group of warships composed of the remaining mental models, the ships' humanoid avatars, who have yet to face the unpredictable captain of the blue steel, gunzou chihaya.  as the blue steel gets closer to understanding the origins of the authority controlling the enemy, iona's past reveals the beginning of the war and her reason for siding with humanity.",21.695,7,7.6,ja,action,13
Starship Troopers: Traitor of Mars,"federation trooper johnny rico is ordered to work with a group of new recruits on a satellite station on mars, where giant bugs have decided to target their next attack.",21.694,202,5.9,en,action,6
How High,"multi-platinum rap superstars redman and method man star as jamal and silas, two regular guys who smoke something magical, ace their college entrance exams and wind up at harvard. ivy league ways are strange but silas and jamal take it in a stride -- until their supply of supernatural smoke runs dry. that's when they have to start living by their wits and rely on their natural resources to make the grade.",21.687,732,6.3,en,comedy,11
The Nutty Professor,"eddie murphy stars as shy dr. sherman klump, a kind, brilliant, 'calorifically challenged' genetic professor. when beautiful carla purty joins the university faculty, sherman grows desperate to whittle his 400-pound frame down to size and win her heart. so, with one swig of his experimental fat-reducing serum, sherman becomes 'buddy love', a fast-talking, pumped-up , plumped down don juan.",21.68,2387,5.6,en,fantasy,18
The Dry,aaron falk returns to his drought-stricken hometown to attend a tragic funeral. but his return opens a decades-old wound - the unsolved death of a teenage girl.,21.678,285,6.8,en,crime,14
