Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Cluster
Clifford the Big Red Dog,"as emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. when clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, emily and her uncle casey have to fight the forces of greed as they go on the run across new york city. along the way, clifford affects the lives of everyone around him and teaches emily and her uncle the true meaning of acceptance and unconditional love.",585.011,1100,7.3,en,family,-1
Tyler Perry's A Madea Homecoming,madea's back - hallelujer! and she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,577.591,42,6.7,en,comedy,-1
The Boss Baby: Family Business,the templeton brothers — tim and his boss baby little bro ted — have become adults and drifted away from each other. but a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,567.421,1785,7.6,en,animation,-1
Turning Red,"thirteen-year-old mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",564.507,8,8.6,en,animation,-1
Brazen,mystery writer grace miller has killer instincts when it comes to motive - and she'll need every bit of expertise to help solve her sister's murder.,553.141,211,4.8,en,thriller,-1
The House,"across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",551.65,432,7.1,en,animation,-1
Blacklight,travis block is a shadowy government agent who specializes in removing operatives whose covers have been exposed. he then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.,533.903,88,5.1,en,action,-1
Ron's Gone Wrong,"in a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",509.277,1000,8.1,en,animation,-1
Free Guy,a bank teller called guy realizes he is a background character in an open world video game called free city that will soon go offline.,447.872,5158,7.7,en,comedy,-1
Cruella,"in 1970s london amidst the punk rock revolution, a young grifter named estella is determined to make a name for herself with her designs. she befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the london streets. one day, estella’s flair for fashion catches the eye of the baroness von hellman, a fashion legend who is devastatingly chic and terrifyingly haute. but their relationship sets in motion a course of events and revelations that will cause estella to embrace her wicked side and become the raucous, fashionable and revenge-bent cruella.",429.613,6675,8.2,en,comedy,-1
The Suicide Squad,"supervillains harley quinn, bloodsport, peacemaker and a collection of nutty cons at belle reve prison join the super-secret, super-shady task force x as they are dropped off at the remote, enemy-infused island of corto maltese.",424.983,5689,7.7,en,action,-1
The Simpsons in Plusaversary,"the simpsons host a disney+ day party and everyone is on the list… except homer. with friends from across the service and music fit for a disney princess, plusaversary is springfield's event of the year.",418.589,251,6.6,en,animation,-1
Forgive Us Our Trespasses,"targeted by nazis as they hunt down and murder people with disabilities, a boy with a limb difference makes a daring decision while running for his life.",409.688,27,6.3,en,drama,-1
Luca,luca and his best friend alberto experience an unforgettable summer on the italian riviera. but all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,408.749,5886,8.0,en,animation,-1
Mortal Kombat,"washed-up mma fighter cole young, unaware of his heritage, and hunted by emperor shang tsung's best warrior, sub-zero, seeks out and trains with earth's greatest champions as he prepares to stand against the enemies of outworld in a high stakes battle for the universe.",402.273,4447,7.2,en,action,-1
Zack Snyder's Justice League,"determined to ensure superman's ultimate sacrifice was not in vain, bruce wayne aligns forces with diana prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",398.461,7414,8.3,en,action,-1
Mother/Android,"georgia and her boyfriend sam go on a treacherous journey to escape their country, which is caught in an unexpected war with artificial intelligence. days away from the arrival of their first child, the couple must face no man’s land—a stronghold of the android uprising—in hopes of reaching safety before giving birth.",398.12,422,5.8,en,science fiction,-1
Exploits of a Young Don Juan,"roger is a 16-year-old who seeks to lose his virginity in this erotic drama. his initial efforts are unsuccessful, but world war i breaks out and men are seen marching off to battle. roger goes overboard when he is presented with several amorous opportunities.",396.948,88,5.5,fr,comedy,-1
Dune,"paul atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. as malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",394.295,6237,7.9,en,science fiction,-1
The Last Warrior: Root of Evil,"peace and tranquility have set in belogorie. the evil was defeated and ivan is now enjoying his well-deserved fame. he is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. luckily, he has his magic sword to cut a gap between the worlds to get some supplies quite regularly. but when an ancient evil rises and the existence of the magic world is put to danger, ivan has to team up with his old friends and his new rivals. they will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to belogorie.",391.957,89,7.1,ru,fantasy,-1
The Privilege,a wealthy teen and his friends attending an elite private school uncover a dark conspiracy while looking into a series of strange supernatural events.,387.924,104,5.1,de,horror,-1
Queen of Spades,"according to legend, an ominous entity known as the queen of spades can be summoned by performing an ancient ritual. four teenagers summon the queen of spades, but they could never imagine the horrors that await them.",387.159,37,6.4,en,horror,-1
Antlers,"a small-town oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.",380.88,544,6.4,en,drama,-1
Dangerous,"a reformed sociopath heads to a remote island after the death of his brother. soon after his arrival, the island falls under siege from a deadly gang of mercenaries, and when he discovers their role in his brother’s demise, he sets out on a relentless quest for vengeance.",379.856,175,6.4,en,action,-1
After We Fell,"just as tessa's life begins to become unglued, nothing is what she thought it would be. not her friends nor her family. the only person that she should be able to rely on is hardin, who is furious when he discovers the massive secret that she's been keeping. before tessa makes the biggest decision of her life, everything changes because of revelations about her family.",365.85,1563,7.2,en,romance,-1
No Time to Die,"bond has left active service and is enjoying a tranquil life in jamaica. his peace is short-lived when his old friend felix leiter from the cia turns up asking for help. the mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading bond onto the trail of a mysterious villain armed with dangerous new technology.",360.164,3616,7.5,en,adventure,-1
Sooryavanshi,"a fearless, faithful albeit slightly forgetful mumbai cop, veer sooryavanshi, the chief of the anti-terrorism squad in india pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",352.368,93,5.8,hi,action,-1
Finch,"on a post-apocalyptic earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human.",348.942,2075,8.1,en,science fiction,-1
Two,"two people, a man and a woman, wake up naked and with their abdomens attached to each other.",342.661,207,5.4,es,thriller,-1
